,index,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
84,84,S09,-200,-200,-200,-89.67265,-88.802765,-87.93531,-81.09038,-86.42895,-88.51128,-200,-200,-200,-200,-200,-83.6607,-66.07667,-59.231995,-61.02744,-79.27178,-200,-82.47245,-88.24406
85,85,S09,-200,-200,-200,-89.68719,-88.802765,-88.79069,-81.21886,-86.42895,-88.51128,-200,-200,-200,-200,-200,-83.675606,-65.985115,-58.61992,-64.914605,-76.04013,-200,-82.45162,-88.365326
86,86,S09,-200,-200,-200,-89.712595,-88.802765,-88.8439,-80.61224250000001,-86.42895,-88.51128,-200,-200,-200,-200,-200,-83.64593,-65.89766,-60.14494,-64.914605,-76.04013,-200,-82.431725,-88.4812
87,87,S09,-200,-200,-200,-89.74539,-88.802765,-88.894745,-81.69451,-87.47029,-88.51128,-200,-200,-200,-200,-200,-82.62161,-65.81411,-60.490093,-60.850117,-79.12802,-200,-83.686264,-88.399284
88,88,S09,-200,-200,-200,-89.75667,-88.802765,-88.94333,-81.84024,-87.71546,-88.51128,-200,-200,-200,-200,-200,-83.39803,-66.25348,-60.68818,-60.6807,-79.078476,-200,-82.50078,-88.63588
89,89,S09,-200,-200,-200,-89.76743,-88.802765,-87.93531,-81.84728,-86.42895,-88.51128,-200,-200,-200,-200,-200,-83.204994,-65.73428,-60.877495,-60.51882,-78.98722,-200,-82.47874,-88.43218
90,90,S09,-200,-200,-200,-89.866104,-89.995155,-88.85793,-81.809975,-86.42895,-88.51128,-200,-200,-200,-200,-200,-83.02049,-65.658005,-58.61992,-64.914605,-76.04013,-200,-82.4137,-88.54497
91,91,S09,-200,-200,-200,-89.712595,-89.7321,-88.77633,-81.77434,-86.42895,-88.51128,-200,-200,-200,-200,-200,-83.15119,-65.62908,-60.882874,-60.32018,-76.04013,-200,-82.395515,-88.60885
92,92,S09,-200,-200,-200,-89.827866,-89.65612,-88.69834,-80.61224250000001,-86.42895,-88.51128,-200,-200,-200,-200,-200,-82.62161,-65.64538,-60.75638,-60.130352,-78.81221,-200,-83.686264,-88.399284
93,93,S09,-200,-200,-200,-89.79134,-89.62735,-87.93531,-81.82825,-88.038055,-88.51128,-200,-200,-200,-200,-200,-83.31998,-66.25348,-60.635468,-59.99286,-78.68882,-200,-82.378136,-88.399284
94,94,S09,-200,-200,-200,-89.800545,-88.802765,-87.93531,-81.92372,-88.3018,-88.51128,-200,-200,-200,-200,-200,-83.48132,-66.27587,-60.78302,-59.861454,-78.6586,-200,-82.40545,-88.7138
95,95,S09,-200,-200,-200,-89.712595,-89.73138,-88.75548,-82.05889,-86.42895,-88.51128,-200,-200,-200,-200,-200,-83.59173,-66.21985,-58.61992,-64.914605,-78.84899,-200,-82.43155,-88.857994
96,96,S09,-200,-200,-200,-89.712595,-89.830826,-88.67845,-80.61224250000001,-86.42895,-88.51128,-200,-200,-200,-200,-200,-83.47814,-66.03463,-60.792534,-64.914605,-76.04013,-200,-82.41261,-88.399284
97,97,S09,-200,-200,-200,-89.98555,-89.706764,-88.6487,-81.74885,-88.20007,-88.51128,-200,-200,-200,-200,-200,-82.62161,-65.72597,-60.71396,-60.26256,-78.5487,-200,-83.686264,-88.399284
98,98,S09,-200,-200,-200,-89.712595,-89.50053,-88.79566,-81.49644,-88.14708,-88.51128,-200,-200,-200,-200,-200,-83.588646,-66.25348,-60.595013,-60.602066,-78.349304,-200,-82.48226,-88.99583
99,99,S09,-200,-200,-200,-89.712595,-88.802765,-87.93531,-81.29908,-88.140594,-88.51128,-200,-200,-200,-200,-200,-83.86954,-66.25348,-60.437485,-60.926582,-78.11486,-200,-82.504974,-89.17143
100,100,S09,-200,-200,-200,-89.712595,-89.434784,-88.80463,-81.02269,-86.42895,-88.51128,-200,-200,-200,-200,-200,-83.83145,-65.518654,-58.61992,-61.45606,-77.84691,-200,-82.48283,-89.339294
101,101,S09,-200,-200,-200,-89.712595,-89.32813,-88.813194,-80.61224250000001,-86.42895,-88.51128,-200,-200,-200,-200,-200,-83.751236,-65.23278,-60.41832,-64.914605,-76.04013,-200,-82.54935,-88.399284
102,102,S09,-200,-200,-200,-89.712595,-89.22616,-88.95286,-80.61224250000001,-88.13439,-88.51128,-200,-200,-200,-200,-200,-82.62161,-64.91566,-60.399994,-61.78682,-77.590744,-200,-83.686264,-88.399284
103,103,S09,-200,-200,-200,-89.712595,-89.30384,-87.93531,-80.84623,-88.08441,-88.51128,-200,-200,-200,-200,-200,-83.80592,-66.25348,-60.382473,-62.146847,-77.34584,-200,-82.52527,-89.49976
104,104,S09,-200,-200,-200,-89.712595,-88.802765,-87.93531,-80.67755,-87.99264,-88.51128,-200,-200,-200,-200,-200,-83.902,-64.87552,-60.365723,-62.447197,-77.1555,-200,-82.50224,-89.65317
105,105,S09,-200,-200,-200,-89.712595,-89.159164,-89.26166,-80.472466,-86.42895,-88.51128,-200,-200,-200,-200,-200,-83.993866,-64.61801,-58.61992,-64.914605,-77.01731,-200,-82.43642,-89.79982
106,106,S09,-200,-200,-200,-89.712595,-88.84571,-89.38163,-80.61224250000001,-86.42895,-88.51128,-200,-200,-200,-200,-200,-83.90657,-64.37183,-60.26213,-64.914605,-76.04013,-200,-82.4173,-88.399284
107,107,S09,-200,-200,-200,-89.712595,-88.546005,-89.49632,-80.32025,-87.90495,-88.51128,-200,-200,-200,-200,-200,-82.62161,-64.13649,-60.20687,-62.778152,-76.885185,-200,-83.686264,-88.399284
108,108,S09,-200,-200,-200,-89.712595,-88.39078,-89.60598,-80.13091,-87.909134,-88.51128,-200,-200,-200,-200,-200,-84.041985,-66.25348,-60.154034,-63.05074,-76.71508,-200,-82.442825,-88.399284
109,109,S09,-200,-200,-200,-89.712595,-88.802765,-87.93531,-79.949905,-87.86917,-88.51128,-200,-200,-200,-200,-200,-84.083916,-66.25348,-60.05974,-63.311348,-76.596214,-200,-82.467224,-88.399284
110,110,S09,-200,-200,-200,-89.712595,-88.50499,-87.93531,-79.73304,-86.42895,-88.51128,-200,-200,-200,-200,-200,-84.036476,-63.867676,-58.61992,-64.914605,-76.04013,-200,-82.490555,-88.399284
111,111,S09,-200,-200,-200,-89.712595,-88.52666,-89.8422,-80.61224250000001,-86.42895,-88.51128,-200,-200,-200,-200,-200,-83.94734,-63.654476,-58.61992,-64.914605,-76.04013,-200,-82.46907,-88.399284
112,112,S09,-200,-200,-200,-89.712595,-88.54737,-89.8929,-80.61224250000001,-87.874916,-88.51128,-200,-200,-200,-200,-200,-82.62161,-63.66961,-59.750717,-64.0861,-76.570114,-200,-83.686264,-88.399284
113,113,S09,-200,-200,-200,-89.712595,-88.61095,-87.93531,-79.832344,-88.01218,-88.51128,-200,-200,-200,-200,-200,-83.949646,-66.25348,-59.54278,-64.43267,-76.54516,-200,-82.40475,-88.399284
114,114,S09,-200,-200,-200,-89.712595,-88.802765,-87.93531,-79.927284,-88.09946,-88.51128,-200,-200,-200,-200,-200,-83.95185,-63.5965,-59.431496,-64.63267,-76.60883,-200,-82.34325,-88.399284
115,115,S09,-200,-200,-200,-89.712595,-88.67173,-87.93531,-79.930466,-86.42895,-88.51128,-200,-200,-200,-200,-200,-83.953964,-63.395245,-58.61992,-64.914605,-76.04013,-200,-82.547104,-88.399284
